fips,POVALL_2019,PCTPOVALL_2019,MEDHHINC_2019
1001,6723,12.1,58233
1003,22360,10.1,59871
1005,5909,27.1,35972
1007,4101,20.3,47918
1009,9324,16.3,52902
1011,2537,30,31906
1013,4124,21.6,39944
1015,18988,17.2,47747
1017,6415,19.6,42015
1019,4121,15.9,45982
1021,7044,16,49692
1023,2811,22.6,39808
1025,4281,18.4,43822
1027,2156,16.6,40562
1029,1945,13.3,51276
1031,7734,15,57299
1033,7998,14.6,46683
1035,2662,22.2,41539
1037,1789,17.1,42024
1039,6269,17.2,44836
1041,2289,16.8,43309
1043,10088,12.2,50897
1045,8727,18.1,45120
1047,9533,26,34034
1049,12848,18.2,44277
1051,8753,11.4,62310
1053,6980,20.5,42712
1055,18801,18.8,43047
1057,2721,17,44212
1059,4989,16.1,44874
1061,4180,16.1,43089
1063,2553,31.7,28699
1065,2956,20.5,40745
1067,2919,17.2,48597
1069,20207,19.4,50138
1071,7481,14.7,44322
1073,104288,16.2,54127
1075,2070,15.3,42686
1077,14193,15.7,48188
1079,5773,17.7,47797
1081,24731,15.5,54160
1083,11535,12,64729
1085,2555,26.6,33930
1087,4817,29.3,34281
1089,41789,11.5,68609
1091,4601,24.8,38838
1093,4883,16.9,44675
1095,14989,15.7,48913
1097,71784,17.7,49492
1099,4770,23.3,40005
1101,34268,15.8,52711
1103,16146,13.7,54355
1105,2778,33.9,29572
1107,4380,24.3,40249
1109,6742,21.8,41271
1111,3906,17.5,42922
1113,10823,18.9,43670
1115,9780,11.2,65403
1117,13428,6.2,77801
1119,4195,36.4,29209
1121,13326,17.4,47719
1123,6341,16,47100
1125,32226,16.2,52307
1127,10837,17.3,45991
1129,2998,18.6,48864
1131,3329,32.5,30998
1133,3882,16.7,40827
2013,492,14.8,66923
2016,414,7.6,84726
2020,26636,9.5,82512
2050,4249,23.5,48262
2060,80,9.8,87950
2068,132,6.6,78434
2070,883,18.1,57436
2090,6656,7.2,74076
2100,247,9.8,62548
2105,336,15.7,53141
2110,1951,6.3,85419
2122,5966,10.4,68625
2130,1283,9.4,75706
2150,909,7.1,79669
2158,2217,26.8,35369
2164,275,17.4,51693
2170,10142,9.6,75856
2180,2033,20.7,58464
2185,1109,11.4,84784
2188,1805,24,61660
2195,219,6.7,71296
2198,1085,17.6,50049
2220,672,8.1,80660
2230,47,4,74898
2240,823,12,69646
2261,781,8.6,74574
2275,240,9.7,62496
2282,85,14.7,61587
2290,1266,24.4,42063
4001,23680,33.4,35386
4003,20172,16.6,48650
4005,20817,15.9,58301
4007,11219,21.1,45980
4009,7207,20.1,50685
4011,876,9.3,68066
4012,4593,22.1,39407
4013,539670,12.2,68634
4015,33183,16,49712
4017,27440,25.2,40676
4019,142859,14,56150
4021,52975,12.1,62067
4023,8688,18.8,47779
