"fips","Urban_Code"
2013,"Noncore"
2020,"Medium metro"
2050,"Noncore"
2070,"Noncore"
2090,"Small metro"
2105,"Noncore"
2110,"Micropolitan"
2122,"Noncore"
2130,"Micropolitan"
2150,"Noncore"
2170,"Medium metro"
2185,"Noncore"
2220,"Noncore"
2261,"Noncore"
2270,"Noncore"
1001,"Medium metro"
1003,"Small metro"
1005,"Noncore"
1007,"Large fringe metro"
1009,"Large fringe metro"
1011,"Noncore"
1013,"Noncore"
1015,"Small metro"
1017,"Micropolitan"
1019,"Noncore"
1021,"Large fringe metro"
1023,"Noncore"
1025,"Noncore"
1027,"Noncore"
1029,"Noncore"
1031,"Micropolitan"
1033,"Small metro"
1035,"Noncore"
1037,"Micropolitan"
1039,"Noncore"
1041,"Noncore"
1043,"Micropolitan"
1045,"Micropolitan"
1047,"Micropolitan"
1049,"Noncore"
1051,"Medium metro"
1053,"Noncore"
1055,"Small metro"
1057,"Noncore"
1059,"Noncore"
1061,"Small metro"
1063,"Noncore"
1065,"Small metro"
1067,"Small metro"
1069,"Small metro"
1071,"Micropolitan"
1073,"Large central metro"
1075,"Noncore"
1077,"Small metro"
1079,"Small metro"
1081,"Small metro"
1083,"Medium metro"
1085,"Medium metro"
1087,"Noncore"
1089,"Medium metro"
1091,"Noncore"
1093,"Noncore"
1095,"Micropolitan"
1097,"Medium metro"
1099,"Noncore"
1101,"Medium metro"
1103,"Small metro"
1105,"Noncore"
1107,"Small metro"
1109,"Micropolitan"
1111,"Noncore"
1113,"Medium metro"
1115,"Large fringe metro"
1117,"Large fringe metro"
1119,"Noncore"
1121,"Micropolitan"
1123,"Noncore"
1125,"Small metro"
1127,"Large fringe metro"
1129,"Noncore"
1131,"Noncore"
1133,"Noncore"
5001,"Noncore"
5003,"Noncore"
5005,"Micropolitan"
5007,"Medium metro"
5009,"Micropolitan"
5011,"Noncore"
5015,"Noncore"
5017,"Noncore"
5019,"Micropolitan"
5021,"Noncore"
5023,"Noncore"
5025,"Small metro"
5027,"Micropolitan"
5029,"Noncore"
5031,"Small metro"
5033,"Medium metro"
5035,"Large fringe metro"
5037,"Noncore"
5039,"Noncore"
5041,"Noncore"
5043,"Noncore"
5045,"Medium metro"
5047,"Noncore"
5049,"Noncore"
5051,"Small metro"
5053,"Medium metro"
5055,"Micropolitan"
5057,"Noncore"
5059,"Micropolitan"
5061,"Noncore"
5063,"Micropolitan"
5065,"Noncore"
5067,"Noncore"
5069,"Small metro"
5071,"Noncore"
5073,"Noncore"
5075,"Noncore"
5077,"Noncore"
5079,"Small metro"
5081,"Small metro"
5083,"Noncore"
5085,"Medium metro"
5087,"Medium metro"
5089,"Noncore"
5091,"Small metro"
5093,"Micropolitan"
5097,"Noncore"
5099,"Noncore"
5101,"Micropolitan"
5103,"Micropolitan"
