"fips","County","State","Complete_Pop_Pct","Pop_Complete_All","Pop_Complete_12Plus","Pop_Complete_12Plus_Pct","Pop_Complete_18Plus","Pop_Complete_18Plus_Pct","Pop_Complete_65Plus","Pop_Complete_65Plus_Pct","Completeness_pct","Administered_Dose1_Pop","Administered_Dose1_Pop_Pct","Administered_Dose1_Recip_12Plus","Administered_Dose1_Recip_12Plus_Pct","Administered_Dose1_Recip_18Plus","Administered_Dose1_Recip_18Plus_Pct","Administered_Dose1_Recip_65Plus","Administered_Dose1_Recip_65Plus_Pct"
1001,"Autauga County","AL",27.1,15147,15147,31.8,14620,34.1,4990,55.9,91.8,20838,37.3,20837,43.8,19803,46.2,6290,70.5
1003,"Baldwin County","AL",32.7,72922,72920,37.9,71123,40.5,31658,67.6,91.8,104125,46.6,104120,54,99922,56.9,39797,85
1005,"Barbour County","AL",28.6,7069,7069,33,6977,35.6,3038,62.5,91.8,9498,38.5,9497,44.4,9280,47.3,3536,72.7
1007,"Bibb County","AL",23.4,5234,5234,26.9,5120,28.7,1940,52,91.8,7330,32.7,7327,37.6,7063,39.6,2308,61.8
1009,"Blount County","AL",20,11546,11545,23.4,11347,25.5,4828,44.6,91.8,15515,26.8,15511,31.5,15062,33.8,5845,54.1
1011,"Bullock County","AL",35.5,3587,3587,41.3,3497,43.7,1187,69.4,91.8,4681,46.3,4679,53.9,4501,56.3,1406,82.2
1013,"Butler County","AL",27.4,5330,5330,32,5255,34.6,2244,55.4,91.8,7341,37.7,7341,44,7101,46.8,2834,70
1015,"Calhoun County","AL",31.5,35759,35759,36.6,35093,39.4,14169,69,91.8,47054,41.4,47053,48.1,45369,50.9,16626,80.9
1017,"Chambers County","AL",21.8,7233,7233,25.3,7087,26.9,3024,45,91.8,9138,27.5,9138,31.9,8867,33.7,3466,51.6
1019,"Cherokee County","AL",22.9,6005,6005,26,5929,27.9,2899,47,91.8,7531,28.7,7531,32.6,7387,34.8,3379,54.8
1021,"Chilton County","AL",22.9,10168,10167,27.1,9942,29.4,4201,55.3,91.8,14131,31.8,14128,37.7,13559,40.1,5054,66.5
1023,"Choctaw County","AL",42.5,5355,5355,48.6,5291,52.3,2361,79.5,91.8,7600,60.4,7599,68.9,7411,73.3,3027,99.9
1025,"Clarke County","AL",32.5,7671,7671,37.6,7530,40.5,3209,66.3,91.8,11111,47,11110,54.5,10694,57.5,4007,82.7
1027,"Clay County","AL",28.4,3763,3762,32.8,3725,35.3,1455,52.2,91.8,4987,37.7,4985,43.4,4910,46.5,1996,71.7
1029,"Cleburne County","AL",21.5,3212,3212,25.3,3176,27.5,1505,50,91.8,4090,27.4,4089,32.2,3996,34.6,1743,57.9
1031,"Coffee County","AL",25.6,13418,13418,30.3,13124,32.9,5623,62.3,91.8,17994,34.4,17992,40.6,17298,43.3,6562,72.7
1033,"Colbert County","AL",34.8,19234,19234,40.4,18823,43.1,7695,69.5,91.8,24468,44.3,24466,51.4,23482,53.8,8853,80
1035,"Conecuh County","AL",28.6,3449,3449,33,3406,35.5,1533,54.1,91.8,4932,40.9,4932,47.2,4807,50.1,2028,71.6
1037,"Coosa County","AL",29.8,3178,3178,33.3,3123,35,1443,56.2,91.8,3953,37.1,3953,41.5,3853,43.2,1679,65.4
1039,"Covington County","AL",24.3,9015,9015,28.5,8915,30.9,4316,54.5,91.8,12791,34.5,12789,40.4,12484,43.2,5440,68.7
1041,"Crenshaw County","AL",24.5,3379,3379,28.8,3326,31.3,1487,55.7,91.8,4422,32.1,4422,37.7,4311,40.5,1808,67.7
1043,"Cullman County","AL",27.2,22777,22776,31.9,22497,34.6,9848,62.6,91.8,28740,34.3,28735,40.3,27994,43.1,11077,70.4
1045,"Dale County","AL",36.9,18156,18156,43.7,17935,47.2,5660,66.6,91.8,22351,45.5,22350,53.8,21824,57.5,6430,75.6
1047,"Dallas County","AL",28.8,10721,10721,33.9,10446,36.6,4137,58.9,91.8,15529,41.7,15525,49.1,14988,52.6,5564,79.2
1049,"DeKalb County","AL",21.8,15564,15564,25.7,15381,28.3,6334,50.3,91.8,20840,29.1,20837,34.4,20264,37.3,7707,61.2
1051,"Elmore County","AL",30.1,24476,24476,35.2,23888,37.9,8866,70,91.8,33318,41,33316,48,32031,50.8,10932,86.4
