"fips","Trump","Biden","Other","TotCounty","CountyName","State","VotingPref"
1001,19838,7503,429,27770,"AUTAUGA","AL","Red"
1003,83544,24578,1557,109679,"BALDWIN","AL","Red"
1005,5622,4816,80,10518,"BARBOUR","AL","Red"
1007,7525,1986,84,9595,"BIBB","AL","Red"
1009,24711,2640,237,27588,"BLOUNT","AL","Red"
1011,1146,3446,21,4613,"BULLOCK","AL","Blue"
1013,5458,3965,65,9488,"BUTLER","AL","Red"
1015,35101,15216,666,50983,"CALHOUN","AL","Red"
1017,8753,6365,166,15284,"CHAMBERS","AL","Red"
1019,10583,1624,94,12301,"CHEROKEE","AL","Red"
1021,16085,3073,152,19310,"CHILTON","AL","Red"
1023,4296,3127,41,7464,"CHOCTAW","AL","Red"
1025,7324,5755,56,13135,"CLARKE","AL","Red"
1027,5601,1267,62,6930,"CLAY","AL","Red"
1029,6484,675,68,7227,"CLEBURNE","AL","Red"
1031,16899,5076,300,22275,"COFFEE","AL","Red"
1033,19203,8343,340,27886,"COLBERT","AL","Red"
1035,3442,2966,33,6441,"CONECUH","AL","Red"
1037,3631,1796,52,5479,"COOSA","AL","Red"
1039,14586,2721,123,17430,"COVINGTON","AL","Red"
1041,4864,1700,53,6617,"CRENSHAW","AL","Red"
1043,36880,4478,493,41851,"CULLMAN","AL","Red"
1045,14303,5170,265,19738,"DALE","AL","Red"
1047,5524,12230,110,17864,"DALLAS","AL","Blue"
1049,24767,4281,308,29356,"DEKALB","AL","Red"
1051,30164,10367,499,41030,"ELMORE","AL","Red"
1053,10869,4918,123,15910,"ESCAMBIA","AL","Red"
1055,35528,11567,633,47728,"ETOWAH","AL","Red"
1057,7300,1395,71,8766,"FAYETTE","AL","Red"
1059,10376,2086,116,12578,"FRANKLIN","AL","Red"
1061,10848,1595,102,12545,"GENEVA","AL","Red"
1063,875,3884,16,4775,"GREENE","AL","Blue"
1065,3192,4663,45,7900,"HALE","AL","Blue"
1067,6607,2606,85,9298,"HENRY","AL","Red"
1069,32618,12917,638,46173,"HOUSTON","AL","Red"
1071,19670,3717,249,23636,"JACKSON","AL","Red"
1073,138843,181688,5317,325848,"JEFFERSON","AL","Blue"
1075,6174,978,41,7193,"LAMAR","AL","Red"
1077,31721,11915,703,44339,"LAUDERDALE","AL","Red"
1079,12322,3562,147,16031,"LAWRENCE","AL","Red"
1081,42221,27860,1368,71449,"LEE","AL","Red"
1083,34640,13672,923,49235,"LIMESTONE","AL","Red"
1085,1836,4972,27,6835,"LOWNDES","AL","Blue"
1087,1541,7108,74,8723,"MACON","AL","Blue"
1089,102780,87286,4701,194767,"MADISON","AL","Red"
1091,5343,5488,69,10900,"MARENGO","AL","Blue"
1093,12205,1463,139,13807,"MARION","AL","Red"
1095,33191,5943,521,39655,"MARSHALL","AL","Red"
1097,101243,79474,2447,183164,"MOBILE","AL","Red"
1099,6147,4455,66,10668,"MONROE","AL","Red"
1101,33311,64529,1299,99139,"MONTGOMERY","AL","Blue"
1103,39664,13234,824,53722,"MORGAN","AL","Red"
1105,1339,3860,31,5230,"PERRY","AL","Blue"
1107,5594,4022,52,9668,"PICKENS","AL","Red"
1109,8042,5636,163,13841,"PIKE","AL","Red"
1111,8559,2203,75,10837,"RANDOLPH","AL","Red"
1113,9864,11228,237,21329,"RUSSELL","AL","Blue"
1115,36166,7744,531,44441,"ST. CLAIR","AL","Red"
1117,79700,33268,1982,114950,"SHELBY","AL","Red"
1119,1598,4648,45,6291,"SUMTER","AL","Blue"
1121,22235,13138,290,35663,"TALLADEGA","AL","Red"
1123,14963,5859,169,20991,"TALLAPOOSA","AL","Red"
1125,51117,37765,1290,90172,"TUSCALOOSA","AL","Red"
1127,26002,4834,334,31170,"WALKER","AL","Red"
1129,6564,2258,54,8876,"WASHINGTON","AL","Red"
1131,1833,4048,22,5903,"WILCOX","AL","Blue"
1133,10195,974,115,11284,"WINSTON","AL","Red"
2001,3511,3477,326,7314,"DISTRICT 1","AK","Red"
2002,3674,2104,358,6136,"DISTRICT 2","AK","Red"
2003,6076,1903,406,8385,"DISTRICT 3","AK","Red"
2004,4690,5345,476,10511,"DISTRICT 4","AK","Blue"
2005,4077,4204,373,8654,"DISTRICT 5","AK","Blue"
2006,5770,3272,418,9460,"DISTRICT 6","AK","Red"
2007,7027,2215,380,9622,"DISTRICT 7","AK","Red"
2008,7618,1953,341,9912,"DISTRICT 8","AK","Red"
2009,7787,2769,437,10993,"DISTRICT 9","AK","Red"
2010,8081,2727,397,11205,"DISTRICT 10","AK","Red"
2011,7096,3130,402,10628,"DISTRICT 11","AK","Red"
2012,7893,2957,388,11238,"DISTRICT 12","AK","Red"
2013,4652,2666,395,7713,"DISTRICT 13","AK","Red"
2014,6714,4261,468,11443,"DISTRICT 14","AK","Red"
2015,2671,2622,266,5559,"DISTRICT 15","AK","Red"
2016,3516,4274,328,8118,"DISTRICT 16","AK","Blue"
2017,2810,4136,293,7239,"DISTRICT 17","AK","Blue"
2018,2760,4681,279,7720,"DISTRICT 18","AK","Blue"
2019,1975,3118,208,5301,"DISTRICT 19","AK","Blue"
2020,2383,4881,233,7497,"DISTRICT 20","AK","Blue"
2021,3690,5414,325,9429,"DISTRICT 21","AK","Blue"
2022,4684,4553,283,9520,"DISTRICT 22","AK","Red"
2023,3655,3810,274,7739,"DISTRICT 23","AK","Blue"
2024,5378,4736,314,10428,"DISTRICT 24","AK","Red"
2025,4407,4600,318,9325,"DISTRICT 25","AK","Blue"
2026,5243,4558,310,10111,"DISTRICT 26","AK","Red"
2027,4324,4844,338,9506,"DISTRICT 27","AK","Blue"
2028,6162,6264,323,12749,"DISTRICT 28","AK","Blue"
2029,7464,2985,298,10747,"DISTRICT 29","AK","Red"
2030,7180,2638,358,10176,"DISTRICT 30","AK","Red"
2031,6971,5037,402,12410,"DISTRICT 31","AK","Red"
2032,4440,3506,389,8335,"DISTRICT 32","AK","Red"
2033,3059,7535,361,10955,"DISTRICT 33","AK","Blue"
2034,4543,5763,423,10729,"DISTRICT 34","AK","Blue"
2035,4769,5011,322,10102,"DISTRICT 35","AK","Blue"
2036,5114,3796,382,9292,"DISTRICT 36","AK","Red"
2037,2358,2560,224,5142,"DISTRICT 37","AK","Blue"
2038,1737,3202,360,5299,"DISTRICT 38","AK","Blue"
2039,1939,3580,372,5891,"DISTRICT 39","AK","Blue"
2040,1994,2318,291,4603,"DISTRICT 40","AK","Blue"
2099,59,373,1,433,"DISTRICT 99","AK","Blue"
4001,11442,23293,437,35172,"APACHE","AZ","Blue"
4003,35557,23732,1153,60442,"COCHISE","AZ","Red"
4005,27052,44698,1522,73272,"COCONINO","AZ","Blue"
4007,18377,8943,342,27662,"GILA","AZ","Red"
4009,10749,4034,212,14995,"GRAHAM","AZ","Red"
4011,2433,1182,70,3685,"GREENLEE","AZ","Red"
4012,5129,2236,93,7458,"LA PAZ","AZ","Red"
4013,995665,1040774,31705,2068144,"MARICOPA","AZ","Blue"
4015,78535,24831,1302,104668,"MOHAVE","AZ","Red"
4017,27657,23383,727,51767,"NAVAJO","AZ","Red"
4019,207758,304981,7658,520397,"PIMA","AZ","Blue"
4021,107077,75106,2791,184974,"PINAL","AZ","Red"
4023,6194,13138,224,19556,"SANTA CRUZ","AZ","Blue"
4025,91527,49602,2092,143221,"YAVAPAI","AZ","Red"
4027,36534,32210,1137,69881,"YUMA","AZ","Red"
5001,4304,1818,170,6292,"ARKANSAS","AR","Red"
5003,5548,2125,253,7926,"ASHLEY","AR","Red"
5005,15836,4635,536,21007,"BAXTER","AR","Red"
5007,73965,42249,3698,119912,"BENTON","AR","Red"
5009,13652,3064,398,17114,"BOONE","AR","Red"
5011,2335,1214,105,3654,"BRADLEY","AR","Red"
5013,1636,479,67,2182,"CALHOUN","AR","Red"
5015,7424,4023,350,11797,"CARROLL","AR","Red"
5017,1752,2260,91,4103,"CHICOT","AR","Blue"
5019,4616,3438,341,8395,"CLARK","AR","Red"
5021,4086,962,135,5183,"CLAY","AR","Red"
5023,10328,1988,364,12680,"CLEBURNE","AR","Red"
5025,2867,651,82,3600,"CLEVELAND","AR","Red"
5027,5500,2814,302,8616,"COLUMBIA","AR","Red"
5029,5694,2615,376,8685,"CONWAY","AR","Red"
5031,25558,11921,1032,38511,"CRAIGHEAD","AR","Red"
5033,18607,4959,525,24091,"CRAWFORD","AR","Red"
5035,7333,8514,520,16367,"CRITTENDEN","AR","Blue"
5037,4946,1772,224,6942,"CROSS","AR","Red"
5039,1573,963,113,2649,"DALLAS","AR","Red"
5041,1921,2016,227,4164,"DESHA","AR","Blue"
5043,4349,2426,133,6908,"DREW","AR","Red"
5045,34421,18347,1660,54428,"FAULKNER","AR","Red"
5047,5677,1300,152,7129,"FRANKLIN","AR","Red"
5049,3961,1035,123,5119,"FULTON","AR","Red"
5051,29069,14045,1085,44199,"GARLAND","AR","Red"
5053,6794,1268,138,8200,"GRANT","AR","Red"
5055,12670,3058,372,16100,"GREENE","AR","Red"
5057,4470,2138,240,6848,"HEMPSTEAD","AR","Red"
5059,9202,3082,273,12557,"HOT SPRING","AR","Red"
5061,3367,1340,127,4834,"HOWARD","AR","Red"
5063,11250,2806,456,14512,"INDEPENDENCE","AR","Red"
5065,4631,1021,158,5810,"IZARD","AR","Red"
5067,3593,1365,133,5091,"JACKSON","AR","Red"
5069,9521,14981,656,25158,"JEFFERSON","AR","Blue"
5071,6938,2283,277,9498,"JOHNSON","AR","Red"
5073,1757,839,83,2679,"LAFAYETTE","AR","Red"
5075,4569,1080,208,5857,"LAWRENCE","AR","Red"
5077,1286,1423,139,2848,"LEE","AR","Blue"
5079,2729,1032,114,3875,"LINCOLN","AR","Red"
5081,3715,1226,236,5177,"LITTLE RIVER","AR","Red"
5083,6441,1544,240,8225,"LOGAN","AR","Red"
5085,22884,6686,1092,30662,"LONOKE","AR","Red"
5087,5658,1563,130,7351,"MADISON","AR","Red"
5089,5783,1531,189,7503,"MARION","AR","Red"
5091,11920,4245,364,16529,"MILLER","AR","Red"
5093,7296,4558,488,12342,"MISSISSIPPI","AR","Red"
5095,1545,1147,124,2816,"MONROE","AR","Red"
5097,3046,731,96,3873,"MONTGOMERY","AR","Red"
5099,2133,1076,149,3358,"NEVADA","AR","Red"
5101,3192,709,97,3998,"NEWTON","AR","Red"
5103,5294,3995,340,9629,"OUACHITA","AR","Red"
5105,3479,1012,136,4627,"PERRY","AR","Red"
5107,2417,3623,202,6242,"PHILLIPS","AR","Blue"
5109,3519,644,83,4246,"PIKE","AR","Red"
5111,5918,1424,179,7521,"POINSETT","AR","Red"
5113,7035,1246,209,8490,"POLK","AR","Red"
5115,18081,5772,579,24432,"POPE","AR","Red"
5117,2786,654,55,3495,"PRAIRIE","AR","Red"
5119,63687,101947,4322,169956,"PULASKI","AR","Blue"
5121,5355,1215,242,6812,"RANDOLPH","AR","Red"
5123,3242,3604,262,7108,"ST. FRANCIS","AR","Blue"
5125,39556,16060,1343,56959,"SALINE","AR","Red"
5127,2962,483,106,3551,"SCOTT","AR","Red"
5129,3365,588,66,4019,"SEARCY","AR","Red"
5131,31198,14487,1455,47140,"SEBASTIAN","AR","Red"
5133,3884,1116,202,5202,"SEVIER","AR","Red"
5135,5938,1398,230,7566,"SHARP","AR","Red"
5137,4616,1180,142,5938,"STONE","AR","Red"
5139,10478,5584,545,16607,"UNION","AR","Red"
5141,6034,1593,180,7807,"VAN BUREN","AR","Red"
5143,47504,43824,2938,94266,"WASHINGTON","AR","Red"
5145,24182,5978,725,30885,"WHITE","AR","Red"
5147,1543,856,77,2476,"WOODRUFF","AR","Red"
5149,5226,1284,231,6741,"YELL","AR","Red"
6001,136309,617659,16102,770070,"ALAMEDA","CA","Blue"
6003,244,476,21,741,"ALPINE","CA","Blue"
6005,13585,8153,566,22304,"AMADOR","CA","Red"
6007,48730,50426,2910,102066,"BUTTE","CA","Blue"
6009,16518,10046,600,27164,"CALAVERAS","CA","Red"
6011,4559,3239,163,7961,"COLUSA","CA","Red"
6013,152877,416386,12053,581316,"CONTRA COSTA","CA","Blue"
6015,6461,4677,315,11453,"DEL NORTE","CA","Red"
